Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927829199,0.664215005,0.376194028,0.490407738,,,,3.341082723,3.419894222,3.056984112,2.671892612,,,,,,,0.378770414,,,,0.647521458,0.82617106,0.826909486,0.2535469,0.303565158,0.39770308
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656790002,0.598209658,0.533134155,0.523752383,0.560631006,0.486614207,0.460160747,0.410605322,0.414015704,0.400673169,,,,,,,,,,
Afghanistan,AFG,0.966616617,1.394437964,1.498233701,1.080155565,0.672908592,0.827609502,1.035163115,1.464899064,1.46033227,0.982216089,1.763666704,3.473725427,3.11281987,1.545044416,1.752993731,1.311936217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002370971,,,,,,
Angola,AGO,1.695005198,,,,,,,0.909028468,0.940165086,0.994832919,1.139966444,1.359116957,1.539489405,,,,,,,,,,,0.806703614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92981334,1.185616584,1.46323228,3.765241455,0.937486657,0.863882882,0.964128215,0.999191726,1.070493985,1.10858498,1.189333025,0.932476369,0.839335826,0.994704094,0.999252302,0.950213011,0.906949319,0.953042303,0.644753212
Arab World,ARB,,,,,,,,,,,,,3.379210999,2.385783527,2.652173915,,1.955095929,1.937353053,2.335459432,1.913832084,1.823114547,1.95566898,,,,,,2.243269269,,1.931748277,1.81995134,1.518612188,,,,,,1.579834776,1.52658799,1.462270927,1.703669064,1.8421752,1.752876205,1.376839554,,1.208932247,0.998127823,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,0.965693887,0.733511669,1.374538592,0.925815107,0.772242262,0.904131775,,,,,,0.766308232,,0.262263638,0.285241873,0.218208653,,,,,,0.590978111,0.750801692,0.777365604,,,,0.573164292,,0.543915097,0.44764725,,,,,,
Argentina,ARG,6.146947043,7.568269978,10.81301918,12.6011795,11.41908349,9.625900511,10.96443074,9.740490059,8.814455094,8.684605052,7.226285874,7.201007735,7.610883961,6.537830316,5.255708634,4.1672438,4.489653148,4.688576372,3.71064837,3.407462647,4.763150816,5.304623012,5.40075121,3.474249547,4.751420559,4.218503617,3.58856211,3.951620176,3.957906456,2.811407462,1.906213515,1.922137474,1.615637043,2.033695484,1.913219026,1.545398198,1.497084906,1.504044567,1.484419656,1.508561674,2.403061912,2.484842545,1.789135261,1.502717836,1.475885033,1.238235023,1.058118275,1.163455654,1.084034808,1.025439981,1.022747173,0.874278296,0.890840475
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447905343,,1.25416669,0.945613821,1.06465426,1.127139179,1.03194856,1.004253613,0.842936141,0.844766147,0.82317624,1.679886708,1.085192761,0.910834669,1.120695586,1.202638727,1.122178737,1.559608342
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,2.195200999,1.403124068,1.245061237,,0.604581269,1.753920285,,,2.58515502,,,,,,,,,,,,,,,,,,2.740624833,2.419438091,,,,,1.710499553,1.792446153,2.388747081,,1.151514141,1.168035722,1.209722795,1.855140747,1.673009369,1.345639438
Australia,AUS,,6.314857784,6.361579361,5.189557604,4.539279251,4.435498061,4.217653953,4.380940986,4.265745736,4.080037133,4.362862065,5.394744498,4.195488512,2.961299477,3.623125502,3.064625351,2.87843745,3.101376145,2.843225747,2.419766441,2.01201313,2.241320706,2.395155991,2.172351776,2.031040441,2.335564444,2.675489011,2.340571009,2.067395822,1.849172833,1.918853591,1.980978906,1.801118883,1.666331439,1.42232957,1.3374619,1.245301219,1.225631559,1.404396675,1.121518551,1.167338753,1.155990987,1.057282318,0.949015097,0.877208466,0.867210031,0.802836364,0.723771206,0.706840651,0.641327502,0.564280008,0.598291355,0.67968218
Austria,AUT,,7.154155729,7.071014419,6.197375464,5.784662353,5.442569028,5.654206184,5.585287749,5.266064621,4.607001705,4.509649227,5.115801457,5.404691296,4.076285293,4.022604241,3.768229554,3.540228196,3.611435009,3.842586409,3.769941379,3.802990263,3.783116516,3.848305882,3.673300817,3.494285447,3.546665501,3.562486704,3.46216992,3.129466804,2.966608667,2.869865673,2.706648863,2.920311173,3.150405118,2.497502952,2.513378944,2.420199747,2.691687233,2.622822777,2.352830094,2.431157133,2.364203794,2.215168005,2.180832357,2.257661626,2.199021818,2.05054388,2.17385143,2.295973461,2.214950883,2.127927089,2.196227622,2.162821459
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005820547,2.020662467,1.718732499,1.732222639,1.663086052,1.428352788,1.158151861,0.951391168,0.852554309,1.021419698,0.989562145,1.034116864,0.876444256,1.005864795,1.694357625,1.999733969,1.986045758,2.334216721,0.647128571
