Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,0.194805195,0.258064516,0.256410256,0.384615385,0.510529675,0.637429883,0.637429883,0.699745547,0.698856417,0.759493671,0.758533502,0.739570164,0.720606827,0.695322377,0.670037927,0.651074589,0.625790139,0.568900126,0.505689001,0.442477876,0.379266751,0.316055626,0.252844501,0.189633375,0.189633375,0.1517067,0.1517067,0.1517067,0.1517067,0.1517067,0.139064475,0.140593047,0.142801506,0.143734483,0.14384726,0.143135979,0.1418074,0.143734483,0.14317324,,,,,,,,,,,,,,,
Angola,AGO,6.092592593,7.352941176,10.24363636,10.83032491,13.31785714,15.90106007,18.53146853,22.06896552,24.52758621,27.95862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,87.1559633,86.36363636,94.80812641,94.15217391,99.24210526,109.0368852,114.38,115.372549,115.4510557,126.4150943,137.037037,149.3430657,156.1938959,170.8703375,170.4347826,172.4137931,173.2418525,173.2418525,172.7350427,173.4693878,174.8726655,176.910017,173.1748727,168.9303905,173.1748727,180.1694915,196.6101695,207.9037801,212.4352332,163.8235294,155.7093426,156.8284229,157.712305,154.9046794,144.0727903,136.8512111,141.2478336,142.1143847,139.9134948,132.3010381,130.017301,102.3702422,131.0380623,150.9665428,135.3082192,126.5916955,121.9344262,,,,,,,
Arab World,ARB,16.7050441,17.56582076,18.45307776,19.34338181,20.7786266,23.75520822,24.85309704,26.27470418,27.31117635,27.91793717,30.42727647,32.06540058,33.77086943,36.06168567,37.48615614,38.67623315,41.62937372,45.2308002,47.63416356,51.15922633,54.05837777,56.90791974,59.62987112,64.6939033,67.52509462,69.19662431,70.58108474,69.61835657,73.29339511,75.77010178,75.22983347,76.54913131,77.66527642,82.42633042,81.76338898,82.55856452,83.91001168,90.00467876,99.24256356,,,,,,,,,,,,,,,
United Arab Emirates,ARE,248,252,256,260,220,223.3333333,226.6666667,230,200,202.8571429,205.7142857,182.5,164.4444444,136.3636364,138.1818182,128.3333333,130,131.6666667,100,85.26315789,91.11111111,72.17391304,70,65.38461538,59.31034483,60,60.68965517,61.37931034,51.42857143,52.28571429,45.78947368,41.5,44.04761905,63.02325581,61.52173913,60.44444444,76.38888889,63.95348837,63.33333333,,,,,,,,,,,,,,,
Argentina,ARG,67.77893639,71.42857143,75,75.75387322,74.04664939,73.85524372,71.27583749,67.57539483,64.75,65.76923077,67.17692308,69.23076923,69.23076923,69.23076923,69.23076923,69.23076923,66.53846154,65.92307692,64.11538462,81.92307692,75.44444444,74.74074074,75.44444444,75.55555556,83.33333333,91.41791045,101.5595252,100.5289006,99.52963311,98.51949025,97.51726713,96.50427668,95.48855471,94.48441247,93.48816699,92.49633968,91.52233364,90.54917914,89.58031838,88.62538744,87.68932596,,,,,,,,,,,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.4846336,323.3256351,314.9425287,306.8965517,288.8888889,279.1208791,276.9230769,278.0666667,291.6,,,,,,,,,,,,,,,
American Samoa,ASM,30,50,50,60,100,100,120,120,120,120,120,120,120,120,120,120,120,120,120,110,110,110,110,110,110,110,110,110,110,110,91.66666667,91.66666667,91.66666667,73.33333333,55,55,45.83333333,44,68,,120,107.7844311,,,,,,,,,,,,
Antigua and Barbuda,ATG,194.2857143,251.25,300,250,237.5,268.5714286,195.7142857,166.25,162.5,192.8571429,470,496.6666667,793.3333333,753.3333333,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,84.43447653,85.89574378,83.522329,81.38803225,79.43403847,78.48781433,78.18216961,79.52626506,78.51324074,80.61712479,81.99871972,83.16292023,78.95349113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,879.1671624,987.3128019,1073.651177,1155.006024,1275.711634,1361.64375,1432.286071,1510.952681,1569.861286,1630.018904,1690.510076,1833.758256,1878.560106,1919.258769,1934.210526,2012.014388,2023.270847,2087.327643,2083.984375,2080.697224,2124.169381,2265.879083,2256.470588,2251.79558,2265.879083,2265.879083,2410.452675,2408.800548,2373.646564,2352.941176,2374.651811,2415.89852,2424.455376,2517.807638,2517.730496,2506.223329,2450.14245,2394.636234,2394.767691,2410.439798,2408.866426,2400.346071,2397.027417,2390.252343,,,,,,,,,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.7785274,179.5081012,168.2524948,166.1067022,158.8469296,155.5962692,153.0695695,150.0191791,148.1814198,,,,,,,,,,,,,,,
Burundi,BDI,0.028571429,0.027624309,0.02688172,0.026455026,0.026560425,0.038071066,0.0375,0.030241935,0.042553191,0.043057051,0.033482143,0.043010753,0.053763441,0.107526882,0.160427807,0.212314225,0.855614973,0.913978495,0.967741935,1.021505376,1.075268817,1.182795699,1.290322581,1.397849462,1.505376344,1.612903226,1.720430108,1.752688172,1.752688172,1.774193548,1.827956989,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116.832947,1136.094675,1153.846154,1149.532934,1136.880952,1127.046263,,,,,,,,,,
