Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,54.68,54.65,59.12,61.96,64.11,70.2,73.31,74.37,67.73,62.86,68.23,73.56,76.02,78.24,83.72,74.83,80.92,79.94,79.84,79.65,78.79,76.99,74.09,69.22,63.15,65.5,64.53,64.15,69.17,70.44,68.23,73.28,78.94,83.16,88.82,96.24,103.2,102.17,85.57,78.19,95.75,99.47,97.29,105.74,96.97,108.67,100.44,116.51,115.86,110.53,122.57,119.84,,
Angola,AGO,29.96,30.37,31.76,32.58,33.19,34.09,34.38,36.56,38.36,38.43,36.94,39.13,38.28,36.92,36.54,35.59,35.69,34.8,34.82,34.06,34.6,35.23,35.64,36.13,37.46,38.01,37.86,37.88,37.99,39.59,41.84,41.89,47.45,46.07,49.09,49.31,56.86,54.04,62.52,71.3,81.37,86.99,93.47,101.86,104.66,117.14,129.74,164.91,173.96,190.76,158.49,213.39,,
Albania,ALB,30.12,28.52,32.47,30.47,34.51,36.24,37,37.9,39.06,41.13,42.09,45.18,46.27,46.67,51.48,54.12,56.25,57.49,56.25,58.29,60.88,66.29,61.34,60.32,60.03,62.51,60.38,67.54,66.95,57.35,62.06,70.85,78.06,84.87,84.53,79.46,83.21,82.49,86.44,89.4,90.03,95.31,99.74,98.02,102.24,103.52,107.74,112.11,117.99,123.81,131.61,127.86,,
Arab World,ARB,25.11475052,25.96053826,26.16135899,27.29329134,25.4794899,27.08212236,29.25908726,28.76099539,29.10641761,31.81188584,32.06970732,30.99060226,33.86809596,35.06685683,35.7663044,35.10735066,37.12538733,37.89623973,40.94909283,41.26650132,43.07855925,43.81678132,43.99706992,49.18460063,51.78473977,51.56013516,55.04425483,55.25353367,59.24345564,61.70215641,63.33781077,64.0857317,66.48388765,67.32222045,77.58852104,74.34786632,80.09258381,80.87656885,82.64044978,83.38894787,89.12121173,94.37903243,96.26657815,99.00095171,104.7324701,102.2636932,105.2281094,110.0156115,109.2766013,113.869527,115.0905177,118.7687192,,
United Arab Emirates,ARE,4.12,4.25,4.4,4.5,4.63,4.78,4.98,5.28,5.67,6,5.83,6.67,7.8,7.6,7.02,8.4,10.94,12.31,14.15,15.42,19.09,22.14,21.16,21.3,20.64,19.95,24.71,29.06,30.52,37.96,47.59,51.18,55.2,65.9,72.79,90.45,94.43,144.17,173.77,104.95,102.51,92.11,102.39,105.16,92.46,92.35,102.44,100.49,110.49,64.45,65.56,68.19,,
Argentina,ARG,39.35,43.17,40.02,38.06,41.83,46.07,43.2,46.92,45.81,42.73,42.65,44.19,47.55,48.58,53.76,53.6,57.68,58.53,53.91,58.28,59.31,57.75,59.48,60.41,62.01,58.92,60.67,55.84,63.37,64.49,64.94,64.24,69.3,72.64,74.23,76.61,82.17,86.49,85.93,86.54,85.01,91,92.69,103.03,104.29,114.51,111.72,96.9,115.66,115.86,106.03,118.41,,
Armenia,ARM,75.3,57,71.3,65.7,71,60.5,66,65.2,63.68,67.24,70.18,75.64,88.1,100.87,111.04,121.62,124.4,124.14,108.03,,,,,,,,,,,,73.98,64.93,72.59,73.47,75.05,65.41,70.49,69.63,67.51,70.93,72.04,76.71,89.24,102.19,108.57,120.68,120.02,119.64,104.6,115.59,123.47,129.22,,
American Samoa,ASM,70.93,79.37,81.52,84.49,86.01,80.56,78.89,83.17,80.57,73,71.8,70.62,68.42,67.28,65.86,64.77,60.75,54.17,60.68,57.48,57.33,56.11,54.15,53.04,54.06,45.7,48.1,48.37,52.87,47.28,47.49,49.86,50.09,51.2,55.8,55.86,84.92,69.45,74.98,80.53,83.33,96.24,92.8,105.07,102.13,93.84,102.95,103.35,109.29,99.51,102.05,109.05,,
Antigua and Barbuda,ATG,121.33,149.1,153.14,104.29,84.32,71.92,58.39,71.9,74.04,117.5,66.06,63.31,61.71,60.98,62.33,65.22,75.68,82.08,91.55,94.76,90.92,88.78,87.45,100.88,101.93,104.27,107.22,90.65,95.63,97.76,112.56,118.97,119.34,104.08,106.93,99.21,94.32,101.93,104.92,108.67,107.86,107.47,107.87,94.58,97.55,104.75,107.55,105.09,88.85,91.74,89.17,88.9,,
Australia,AUS,44.13,45.94,49.03,47.22,51.92,47.14,54.26,51.3,53.87,56.67,58.23,62.53,56.84,61.69,65.7,64.86,74.39,71.15,62.89,67.1,61.2,72.72,69.11,68.78,70.49,69.32,72.1,71.26,74.4,73.63,79.34,83.16,78.11,85.91,95.03,95.54,100.82,107.32,105.02,110.12,93.91,107.06,100.59,107.94,91.48,97.12,103.64,104.9,102.17,108.84,119.54,119.52,,
Austria,AUT,70.3,75.01,77.53,68.32,73.25,78.01,80.63,79.8,79.62,77.1,75.57,79.75,81.73,84.1,84,82.95,86.41,87.7,92.12,88.37,100.62,93.89,96.73,93.11,94.92,93.94,98.04,94.09,94.39,94.93,93.53,93.31,97.88,95.3,95.59,97.02,101.5,106.02,99.91,100.7,100.37,98.82,101.68,100.37,97.95,101.44,105.51,104.03,103.15,108.29,102.54,101.96,,
Azerbaijan,AZE,82.5,68.3,62.1,58.6,63.6,57.8,63.6,70.1,76.01,83.39,88.28,92.54,89.74,103.41,106.85,106.48,113.76,126.37,123.05,,,,,,,,,,,,79.33,65.65,59.62,58.01,61.32,59.35,63.6,70.09,75.65,82.88,88.19,92.04,91.5,102.89,105.61,105.74,112.57,122.63,120.91,128.49,134.98,139.8,,
Burundi,BDI,63.74,64.57,69.74,70.12,70.39,73.1,75.3,75.06,75.82,77.76,71.07,80.11,74.3,81.56,83.25,85.39,79.1,79.65,78.43,83.22,81.95,80.56,80.25,90.97,95.87,98.41,101.47,95.69,102.38,105.22,107.39,105.48,90.46,94.96,96.74,97.59,91.38,94.58,90.83,98.09,100.36,104.26,98.37,100.45,101.18,104.45,105.68,112.46,113.75,111.84,98.16,144.81,,
Belgium,BEL,,,,,,,,,106.8,99.23,103.47,101.1,103.58,99.17,97.25,98.49,94.59,97.99,86.7,,,,,,,,,,,,,,,,,,,,107.36,100.64,102.67,102.1,104.23,98.91,96.86,97.56,92.13,95.41,101.08,103.75,97.95,101.79,,
Benin,BEN,20.97,21.24,22.24,23.21,22.33,24.64,26.6,25.73,26.91,26.99,27.18,28.1,26.42,26.07,30.53,29.52,32.57,34.24,32.3,31.58,31.77,32.17,40.7,40.94,43.03,37.74,45.11,46.82,48.2,51.95,52.44,55.1,57.91,61.36,67.31,73,74.91,80.69,84.54,85.72,92.46,98.34,103.35,101.28,95.37,99.38,117.6,118.78,123.51,130.9,138.44,151.6,,
Burkina Faso,BFA,23.21,23.36,25.66,26.32,26.38,27.18,28.52,28.09,28.66,27.32,25.95,23.27,26.43,29.89,26.93,27.75,30.14,31.83,29.77,33.16,33.25,34.04,34.25,42.55,47.87,44.18,51.05,49.37,50.86,61.29,63.63,65.62,64.86,65.18,71.04,65.61,77.16,78.84,69.15,89.82,89.08,102.02,93.52,102.98,103.5,89.84,114.48,105.71,122.77,112.28,128.64,123.92,,
Bangladesh,BGD,34.91,39.72,40,40.27,38.55,43.68,44.7,46.55,44.31,41.12,40.34,44.68,43.22,47.8,45.65,48.75,50.52,50.12,51.04,50.74,52.76,53.98,54.29,56.17,56.84,56.95,57.85,63.55,64.28,65.69,66.59,66.52,63.98,66.84,70.55,71.49,74.1,84.27,89.49,87.55,90.16,92.78,91,102.85,106.16,112.06,120.37,121.62,129.69,132.08,132.84,135.36,,
Bulgaria,BGR,125.63,128.08,130.77,144.64,162.71,159.79,162.7,165.21,158.57,160.92,167.05,167.26,157.98,161.12,175.83,162.98,173.66,180.13,174.78,188.76,198.52,180.91,196.49,171.33,187.8,178.63,178.59,186.8,175.76,148.52,147.62,117.7,120.38,134,110.82,116.51,117.38,121.55,114.83,112.86,103.91,94.13,110.21,89.26,100.53,76.98,109.37,101.05,110.47,113.76,107.98,120.44,,
Bahrain,BHR,54.38,55.03,54.89,56.83,55.71,56.68,55.55,57.58,59.01,57.99,60.63,62.69,67.25,96.44,122.01,149.04,154.34,161.46,173.44,89.5,95.42,89.81,101.32,115.33,103.55,134.41,109.27,115.14,90.7,95.83,107.91,105.74,112.34,119.33,117.73,114.22,127.58,118.76,121.86,104.07,105.72,102.39,89.68,91.83,118.48,114.18,111.39,126.36,115.43,165.53,169.41,206.83,,
"Bahamas, The",BHS,36.4,38.5,40.25,42.59,46.19,48.48,48.99,46.32,48.27,47.09,51.76,67.28,70.95,70.69,79.4,67.97,63.52,60.38,59.79,69.98,66.45,63.92,67.26,66.85,64.65,68.14,69.27,73.55,73.12,65.48,65.28,65.05,63.02,79.94,91.21,85.65,106.76,110.76,85.09,88.81,87.02,95.22,99.72,98.51,101.76,107.23,107.96,104.24,126.09,129,132.05,133.85,,
