Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000001,,,0.5,,,0.5,,,,,,,0.699999988,,,0.600000024,0.600000024,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.099999905,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.80000305,72.19999695,57.70000076,58.09999847,58.5,58.5,58,47.90000153,,44.09999847,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.18171816,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,7.900000095,,,,,4.900000095,,,4.199999809,3.799999952,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,0.100000001,0.300000012,0.300000012,,,,,,0.400000006,0.300000012,0.400000006,0.5,0.5,0.600000024,0.800000012,0.800000012,0.800000012,0.699999988,0.699999988,0.800000012,1,1.399999976,1.200000048,1.100000024,1,0.899999976,1.200000048,0.699999988,3,3.099999905,0.600000024,0.600000024,0.5,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.29999924,46,46.90000153,46.20000076,46.20000076,46,37.59999847,39.5,38.59999847,38.90000153,37.29999924,36.29999924,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.200000048,,,,,,,,,,3.099999905,,,,,,,,,,3,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.599999905,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,2.799999952,,,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,,6.5,6.5,6.400000095,6.599999905,6.199999809,6.099999905,6.099999905,5.800000191,5.900000095,5.5,5.599999905,5.400000095,5.099999905,5.099999905,4.900000095,4.800000191,4.800000191,4.900000095,4.800000191,4.900000095,4.900000095,4.800000191,4.400000095,3.900000095,3.700000048,3.599999905,3.400000095,3.299999952,3.200000048,3.200000048,3.200000048,2.900000095,2.900000095,2.599999905,,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,9.899999619,9.399999619,9,8.600000381,8.600000381,8.100000381,7.900000095,7.900000095,7.400000095,7.099999905,6.900000095,7.199999809,7.300000191,7.400000095,6.900000095,6.5,5.800000191,5.599999905,5.400000095,5.5,5.199999809,4.699999809,4.900000095,4.800000191,4.900000095,4.599999905,4.599999905,4.699999809,4.400000095,4.199999809,4,4.300000191,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,33.40000153,33.40000153,33.20000076,33.09999847,33.70000076,32.70000076,31.60000038,30.89999962,31.79999924,34.70000076,32.40000153,31.5,30.79999924,31.79999924,29,42.29999924,42.29999924,41,40,40.20000076,40,39.5,39.29999924,39.09999847,38.70000076,38.40000153,38.09999847,38.20000076,37.90000153,37.70000076,37.09999847,36.79999924,
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.19999695,,,,,,,,,,,,,,,,,
Belgium,BEL,,,,,,,,,,,,,,,,,,,3.099999905,3.099999905,3.099999905,3.099999905,3.099999905,3.099999905,3,2.900000095,3,3.099999905,3.099999905,2.599999905,2.900000095,2.599999905,2.900000095,2.700000048,2.700000048,2.700000048,2.200000048,2.299999952,1.799999952,1.299999952,1.799999952,1.700000048,2.200000048,2,1.899999976,1.799999952,1.5,1.399999976,1.299999952,1.200000048,1.100000024,1.299999952,1.100000024,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.70000076,,,,,,,45.09999847,,,,,
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.80000305,,,,,,,,,85.09999847,,84.80000305,78.40000153,67.40000153,,,,,,,,
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,58.79999924,57.70000076,57.09999847,,,64.90000153,,66.40000153,,,,,63.20000076,,,,62.09999847,,51.70000076,51.70000076,,48.09999847,,,,,47.5,,,,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,24.39999962,23.70000076,22.89999962,22.10000038,21.5,21,20.39999962,19.70000076,19.29999924,18.70000076,18.5,19.5,21.20000076,22.10000038,23.20000076,23.89999962,24.70000076,,,,12.30000019,9,9.899999619,9.899999619,9.800000191,8.399999619,7.699999809,7.199999809,7,6.800000191,6.699999809,6.599999905,6.300000191,6.5,6.900000095,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,2.700000048,2.599999905,,,,,,,,,2.400000095,,,,,,,,,,1.5,,,0.800000012,,,,,,1.100000024,,,,,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4.400000095,,5.199999809,5.199999809,5.400000095,5.400000095,4.300000191,5,3.799999952,3.5,4,,4.199999809,3.700000048,3,4.400000095,3.5,2.5,2.299999952,2.900000095,2.900000095,,3.700000048,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,23.79999924,22.89999962,22.10000038,21.60000038,21.10000038,22.29999924,21.70000076,21.20000076,,,,,,,,,,,,,,,10.5,10.5,10.39999962,10.10000038,9.600000381,,
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.20000076,22.89999962,27.20000076,28.70000076,29.89999962,25,27.5,,,,,22.60000038,19.5,,,,,,,,,,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.399999976,1.600000024,1.700000048,1.700000048,1.700000048,,,,,1.100000024,1.399999976,1.700000048,1.700000048,1.600000024,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,46.5,46.29999924,46.40000153,47.40000153,47.29999924,47.40000153,47.40000153,47.40000153,47.40000153,2.200000048,1.200000048,1.799999952,2.099999905,1.899999976,1.600000024,2.200000048,5.300000191,5.699999809,,37.09999847,36.79999924,41.5,39.59999847,35.09999847,35.09999847,38.59999847,39.5,36.09999847,34.29999924,32.09999847,,,,,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,29.29999924,29.5,27.10000038,29.79999924,28.60000038,25.89999962,24.60000038,24.20000076,23.20000076,22.79999924,,28.29999924,27.39999962,,26.10000038,24.39999962,24.20000076,23.39999962,24.20000076,18.5,20.60000038,20.60000038,20.70000076,21,20.5,19.29999924,18.29999924,17.39999962,17,,15.69999981,14.60000038,14.5,,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,9.399999619,8.600000381,8,9.100000381,8.5,8.199999809,8,7.800000191,6.599999905,6.300000191,5.5,6.199999809,5.599999905,5.300000191,4.599999905,5.300000191,5.300000191,4.400000095,4.300000191,3.700000048,4.199999809,4,4.599999905,3.299999952,,,,,,2.799999952,3.299999952,2.799999952,2.700000048,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1.399999976,,,,,,,,,,,,,0.600000024,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.80000305,,43.59999847,63.09999847,,,65.40000153,59.5,60.09999847,62.20000076,56.29999924,,
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,57.90000153,,,,,,,,,,,15.60000038,,20.39999962,,19.70000076,12.39999962,,21.20000076,,,29.89999962,,,,26.39999962,,,,,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,,,,,,,,,,,,,,,,,,,5.400000095,5.5,5.300000191,5.5,5.400000095,5.099999905,4.900000095,4.599999905,4.400000095,4.300000191,4.199999809,4.400000095,4.300000191,4.300000191,4.300000191,4.099999905,4,3.799999952,3.799999952,3.599999905,3.299999952,2.799999952,2.799999952,2.799999952,2.599999905,2.700000048,2.700000048,2.5,2.400000095,2.400000095,2.200000048,2.200000048,2.099999905,2.200000048,2.099999905,
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9683795,22.9102394,23.59105159,23.02138544,22.75994343,21.95245211,22.09822028,21.59590169,19.85780389,19.17868891,18.71864611,17.06872708,16.72358558,15.33214153,14.82993791,13.77459666,12.85568114,12.13188714,12.14380441,12.54615615,12.10764201,12.09365332,11.7482027,11.36667626,
Switzerland,CHE,,,,,,,,,,,,,,,,,,,6.900000095,6.599999905,6.400000095,6.400000095,6.199999809,6.099999905,5.699999809,5.300000191,4.900000095,4.5,4.199999809,4.199999809,4.300000191,4.400000095,4.300000191,4.400000095,4.199999809,4.400000095,4.400000095,4.099999905,4.099999905,3.900000095,3.799999952,3.700000048,3.5,3.5,3.400000095,3.599999905,3,2.700000048,3,3.099999905,3.099999905,3.200000048,3.200000048,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,16.29999924,15.5,16.20000076,15.80000019,16,20.20000076,20.60000038,20.89999962,20.29999924,19.39999962,19.29999924,19.10000038,18,16.60000038,16.20000076,15.69999981,15.39999962,14.39999962,14.39999962,14.39999962,14.39999962,13.60000038,13.5,13.60000038,15.10000038,14.80000019,14,13.5,13,12.60000038,11.10000038,10.39999962,10.39999962,9.199999809,,
