Country Name,Country Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,0.035570732,0.035275235,0.035069877,0.034867503,0.034654838,0.034453651,0.034255374,0.034057626,0.033861001,0.033648508,0.033417434,0.033201082,0.033044197,0.032973374,0.033009292,0.033131233,0.033274548,0.03334556,0.033280085,0.033021282,0.032603026,0.032152273,0.031831421,0.031731929,0.031926441,0.032344142,0.032745551,0.032769695,0.032181245,0.030948733,0.029310471,0.027586968,0.026075619,0.024898538,0.024039906,0.023406322,0.022915807,0.0224709,0.022012371,0.021529916,0.02105374,0.020615369,0.020254805,0.019993802,0.019835366,0.019759331,0.019735154,0.019720754,0.019685621,0.019620154,0.019532585,0.01943238
Andorra,AND,0.06503642,0.060938452,0.057240985,0.05390545,0.050900947,0.048181161,0.045687135,0.043363254,0.041187858,0.039123631,0.03718578,0.035422054,0.033882225,0.032566925,0.031465341,0.030516647,0.029633142,0.028719952,0.027729252,0.026665245,0.025567601,0.024472615,0.02341701,0.022423033,0.021498441,0.020636427,0.019829073,0.01906614,0.036689842,0.035289551,0.033953552,0.032785273,0.031894366,0.031321452,0.031108553,0.031178387,0.034435262,0.035847322,0.035168733,0.0354139,0.035188469,0.033430058,0.0319134,0.030779459,0.028786298,0.027097717,0.025696132,0.026908768,0.029614186,0.03158176,0.030258712,0.038207162
Afghanistan,AFG,0.824078327,0.813088735,0.801756051,0.785074881,0.772009336,0.756514862,0.740014661,0.724456681,0.707664001,0.69220397,0.675093472,0.657932276,0.64227729,0.628628222,0.616458379,0.605828561,0.5982206,0.595485497,0.598724799,0.608605591,0.624457202,0.644184282,0.664007837,0.680108453,0.691497095,0.697658091,0.695337669,0.681405998,0.655475792,0.618482187,0.575455618,0.52777956,0.485382232,0.456282007,0.437426352,0.426136442,0.419037268,0.401976635,0.389961598,0.374211686,0.357331027,0.345309145,0.332597868,0.319877731,0.309486942,0.301187779,0.293794568,0.286430575,0.278697601,0.270434754,0.26205307,0.253727695
Angola,AGO,0.493971264,0.488698137,0.485376832,0.480483606,0.477524947,0.474606777,0.471473076,0.469430143,0.46024667,0.45047529,0.440217881,0.429615946,0.418848228,0.408029227,0.39728705,0.386598625,0.375786933,0.364647684,0.353143894,0.341258774,0.32926442,0.317680973,0.307043428,0.297582125,0.289314325,0.281944507,0.275014358,0.267997611,0.260606927,0.25714396,0.253186543,0.244962229,0.237182593,0.230014324,0.2234668,0.217361882,0.211450615,0.205451547,0.199221204,0.19276748,0.192430695,0.197706663,0.190801075,0.184224345,0.177979445,0.177231885,0.171351527,0.194930795,0.193214368,0.214198186,0.207179593,0.208971246
Albania,ALB,0.254774241,0.249628252,0.244193514,0.246676437,0.248097095,0.248270501,0.247246661,0.244992662,0.243973366,0.242246623,0.240735474,0.238597811,0.237008771,0.234112085,0.233879975,0.230749706,0.227178321,0.222703367,0.218937372,0.215696229,0.211544968,0.207105585,0.202793733,0.198666874,0.194863091,0.191334493,0.187758406,0.180300582,0.176173011,0.176932095,0.178008333,0.178787942,0.179888862,0.181003481,0.182131941,0.183592252,0.184431666,0.185603475,0.187113936,0.18887821,0.189445462,0.190155599,0.190951982,0.178649285,0.195151488,0.194611681,0.206968107,0.208025977,0.214897181,0.214129814,0.213446767,0.212986554
Arab World,ARB,0.470870044,0.460262756,0.451294925,0.443261927,0.43001798,0.420710223,0.408211067,0.399100965,0.390666099,0.389780619,0.377102375,0.367996628,0.3607919,0.350744923,0.343712947,0.331958507,0.322671801,0.311509594,0.301061469,0.293647322,0.286003567,0.276479228,0.271036253,0.264770553,0.258820981,0.254055468,0.247673288,0.241693165,0.23624328,0.232899519,0.232213927,0.237163894,0.230412952,0.226747463,0.222909209,0.21763807,0.212753251,0.207236385,0.199231739,0.19488994,0.192409495,0.194591745,0.188216351,0.186437433,0.180187268,0.177234401,0.170510204,0.163652544,0.160847827,0.152248228,0.16081341,0.148974278
United Arab Emirates,ARE,0.044547398,0.039930999,0.036174215,0.033262816,0.037249266,0.034928193,0.032377828,0.029187138,0.029732324,0.025439744,0.021600338,0.020897386,0.019913795,0.020705298,0.017683438,0.016600978,0.014503368,0.012940754,0.015735811,0.017381631,0.015537641,0.018879959,0.018745929,0.019253084,0.020271952,0.019091621,0.017968851,0.016938095,0.019321453,0.018294053,0.018821068,0.018798203,0.0187644,0.018296377,0.018640643,0.01733957,0.013168628,0.014908876,0.019671306,0.022064319,0.022097429,0.017651287,0.01584529,0.01517188,0.009784859,0.007420842,0.007478107,0.006475959,0.006074829,0.005163301,0.004144074,0.00414824
Argentina,ARG,0.900990535,0.906490635,0.910998789,0.918217601,0.955736291,0.974219614,1.02535231,1.097051969,1.084550651,1.067041302,1.049108359,1.031198187,1.013862424,0.997430657,0.981978689,0.967313473,0.953158073,0.93915266,0.925073034,0.910894672,0.931227504,0.916660643,0.902379062,0.888485787,0.874997189,0.855506459,0.829267901,0.820430257,0.811952677,0.803761653,0.795866332,0.78831079,0.781234763,0.774543248,0.768273392,0.762405165,0.756727535,0.751254078,0.745868854,0.740455388,0.73534995,0.748731221,0.794628738,0.840390532,0.881069296,0.911510844,0.8731891,0.840518193,0.921357377,0.930990914,0.944382669,0.933253004
American Samoa,ASM,0.047352969,0.045697573,0.044050923,0.042520623,0.041118421,0.039815257,0.03863092,0.037572797,0.036640774,0.035821751,0.035100035,0.03446612,0.03390865,0.033409061,0.032976092,0.032583904,0.032149172,0.031575624,0.030810944,0.029861443,0.028785262,0.027651044,0.026534349,0.025479654,0.024488796,0.023558236,0.022701991,0.021934154,0.021256696,0.020670125,0.024195012,0.023656974,0.023162893,0.028369331,0.037087861,0.036402024,0.042934578,0.044038895,0.043461632,0.042973047,0.042568407,0.056498131,0.055684925,0.055821507,0.056267903,0.051809892,0.051901597,0.053356099,0.053921921,0.054233856,0.054321256,0.054247586
Antigua and Barbuda,ATG,0.124309638,0.139450565,0.11965812,0.13410893,0.131540005,0.112899584,0.11080157,0.124403253,0.122382169,0.105520215,0.044639536,0.044135821,0.043696745,0.043319423,0.042991029,0.042721046,0.042548363,0.042521225,0.042673646,0.043010753,0.04350979,0.044144913,0.044867864,0.060842054,0.061914712,0.063008002,0.063961112,0.064550487,0.064614092,0.064090239,0.063057666,0.061663686,0.060105184,0.058523168,0.056943555,0.055377118,0.053903997,0.052603201,0.051514527,0.050650864,0.049981257,0.049441313,0.048948824,0.048446678,0.047923131,0.04739505,0.046865847,0.046349942,0.045854207,0.045376168,0.044909003,0.044451853
